[2026-09-03 19:22:40] OK | History saved: 2026-09-03 19:22:40<br>Download: 19.38 Mbps<br>Upload: 1.55 Mbps<br>CPU: 6 %<br>Memory: 18.058013916016 %<br>Disk: 19.223022460938 %
[2026-09-03 19:22:50] OK | History saved: 2026-09-03 19:22:50<br>Download: 40.78 Mbps<br>Upload: 2.38 Mbps<br>CPU: 13 %<br>Memory: 18.058013916016 %<br>Disk: 19.219970703125 %
[2026-09-03 19:23:00] OK | History saved: 2026-09-03 19:23:01<br>Download: 66.63 Mbps<br>Upload: 2.16 Mbps<br>CPU: 12 %<br>Memory: 18.081665039062 %<br>Disk: 19.219970703125 %
[2026-09-03 19:22:49] FAILED | Router Offline
[2026-09-03 19:23:11] OK | History saved: 2026-09-03 19:23:11<br>Download: 38.65 Mbps<br>Upload: 1.65 Mbps<br>CPU: 10 %<br>Memory: 18.081665039062 %<br>Disk: 19.219970703125 %
[2026-09-03 19:23:21] OK | History saved: 2026-09-03 19:23:21<br>Download: 45.94 Mbps<br>Upload: 1.95 Mbps<br>CPU: 15 %<br>Memory: 18.081665039062 %<br>Disk: 19.219970703125 %
[2026-09-03 19:23:14] FAILED | Router Offline
[2026-09-03 19:23:31] OK | History saved: 2026-09-03 19:23:31<br>Download: 45.84 Mbps<br>Upload: 2.1 Mbps<br>CPU: 18 %<br>Memory: 18.085479736328 %<br>Disk: 19.219970703125 %
[2026-09-03 19:23:41] OK | History saved: 2026-09-03 19:23:42<br>Download: 61.99 Mbps<br>Upload: 2.51 Mbps<br>CPU: 26 %<br>Memory: 18.080139160156 %<br>Disk: 19.223022460938 %
[2026-09-03 19:23:52] OK | History saved: 2026-09-03 19:23:52<br>Download: 58.44 Mbps<br>Upload: 2.76 Mbps<br>CPU: 17 %<br>Memory: 18.083953857422 %<br>Disk: 19.219970703125 %
[2026-09-03 19:23:39] FAILED | Router Offline
[2026-09-03 19:24:02] OK | History saved: 2026-09-03 19:24:02<br>Download: 63.73 Mbps<br>Upload: 2.51 Mbps<br>CPU: 28 %<br>Memory: 18.080139160156 %<br>Disk: 19.265747070312 %
[2026-09-03 19:24:12] OK | History saved: 2026-09-03 19:24:12<br>Download: 51.97 Mbps<br>Upload: 1.73 Mbps<br>CPU: 19 %<br>Memory: 18.070220947266 %<br>Disk: 19.2626953125 %
[2026-09-03 19:24:05] FAILED | Router Offline
[2026-09-03 19:24:22] OK | History saved: 2026-09-03 19:24:22<br>Download: 61.7 Mbps<br>Upload: 2.06 Mbps<br>CPU: 14 %<br>Memory: 18.070220947266 %<br>Disk: 19.2626953125 %
[2026-09-03 19:24:32] OK | History saved: 2026-09-03 19:24:33<br>Download: 53.38 Mbps<br>Upload: 2.95 Mbps<br>CPU: 20 %<br>Memory: 18.074035644531 %<br>Disk: 19.2626953125 %
[2026-09-03 19:24:43] OK | History saved: 2026-09-03 19:24:43<br>Download: 33.22 Mbps<br>Upload: 1.91 Mbps<br>CPU: 9 %<br>Memory: 18.064880371094 %<br>Disk: 19.2626953125 %
[2026-09-03 19:24:30] FAILED | Router Offline
[2026-09-03 19:24:53] OK | History saved: 2026-09-03 19:24:53<br>Download: 33.8 Mbps<br>Upload: 1.67 Mbps<br>CPU: 14 %<br>Memory: 18.064880371094 %<br>Disk: 19.2626953125 %
[2026-09-03 19:25:03] OK | History saved: 2026-09-03 19:25:03<br>Download: 79.03 Mbps<br>Upload: 2.48 Mbps<br>CPU: 23 %<br>Memory: 18.064880371094 %<br>Disk: 19.2626953125 %
[2026-09-03 19:24:55] FAILED | Router Offline
[2026-09-03 19:25:13] OK | History saved: 2026-09-03 19:25:13<br>Download: 23.73 Mbps<br>Upload: 1.38 Mbps<br>CPU: 8 %<br>Memory: 18.022918701172 %<br>Disk: 19.2626953125 %
[2026-09-03 19:25:24] OK | History saved: 2026-09-03 19:25:24<br>Download: 81.39 Mbps<br>Upload: 2.78 Mbps<br>CPU: 27 %<br>Memory: 18.046569824219 %<br>Disk: 19.2626953125 %
[2026-09-03 19:25:34] OK | History saved: 2026-09-03 19:25:34<br>Download: 44.53 Mbps<br>Upload: 1.56 Mbps<br>CPU: 22 %<br>Memory: 18.046569824219 %<br>Disk: 19.2626953125 %
[2026-09-03 19:25:21] FAILED | Router Offline
[2026-09-03 19:25:44] OK | History saved: 2026-09-03 19:25:44<br>Download: 35.89 Mbps<br>Upload: 2.13 Mbps<br>CPU: 10 %<br>Memory: 18.093109130859 %<br>Disk: 19.265747070312 %
[2026-09-03 19:25:54] OK | History saved: 2026-09-03 19:25:54<br>Download: 31.13 Mbps<br>Upload: 1.27 Mbps<br>CPU: 11 %<br>Memory: 18.093109130859 %<br>Disk: 19.265747070312 %
[2026-09-03 19:25:46] FAILED | Router Offline
[2026-09-03 19:26:04] OK | History saved: 2026-09-03 19:26:05<br>Download: 55.03 Mbps<br>Upload: 2.51 Mbps<br>CPU: 23 %<br>Memory: 18.093109130859 %<br>Disk: 19.265747070312 %
[2026-09-03 19:26:15] OK | History saved: 2026-09-03 19:26:15<br>Download: 47.02 Mbps<br>Upload: 2.58 Mbps<br>CPU: 14 %<br>Memory: 18.069458007812 %<br>Disk: 19.265747070312 %
[2026-09-03 19:26:25] OK | History saved: 2026-09-03 19:26:25<br>Download: 63.78 Mbps<br>Upload: 2.17 Mbps<br>CPU: 23 %<br>Memory: 18.070983886719 %<br>Disk: 19.265747070312 %
[2026-09-03 19:26:11] FAILED | Router Offline
[2026-09-03 19:26:35] OK | History saved: 2026-09-03 19:26:35<br>Download: 11.43 Mbps<br>Upload: 1.02 Mbps<br>CPU: 5 %<br>Memory: 18.070983886719 %<br>Disk: 19.265747070312 %
[2026-09-03 19:26:45] OK | History saved: 2026-09-03 19:26:45<br>Download: 37.18 Mbps<br>Upload: 1.56 Mbps<br>CPU: 8 %<br>Memory: 18.070983886719 %<br>Disk: 19.265747070312 %
[2026-09-03 19:26:37] FAILED | Router Offline
[2026-09-03 19:26:55] OK | History saved: 2026-09-03 19:26:56<br>Download: 57.43 Mbps<br>Upload: 1.85 Mbps<br>CPU: 19 %<br>Memory: 18.070983886719 %<br>Disk: 19.265747070312 %
[2026-09-03 19:27:06] OK | History saved: 2026-09-03 19:27:06<br>Download: 53.85 Mbps<br>Upload: 1.69 Mbps<br>CPU: 23 %<br>Memory: 18.070983886719 %<br>Disk: 19.265747070312 %
[2026-09-03 19:27:16] OK | History saved: 2026-09-03 19:27:16<br>Download: 44.09 Mbps<br>Upload: 1.69 Mbps<br>CPU: 17 %<br>Memory: 18.070983886719 %<br>Disk: 19.265747070312 %
[2026-09-03 19:27:02] FAILED | Router Offline
[2026-09-03 19:27:26] OK | History saved: 2026-09-03 19:27:26<br>Download: 41.33 Mbps<br>Upload: 1.31 Mbps<br>CPU: 13 %<br>Memory: 18.070983886719 %<br>Disk: 19.268798828125 %
[2026-09-03 19:27:36] OK | History saved: 2026-09-03 19:27:36<br>Download: 31.29 Mbps<br>Upload: 1.12 Mbps<br>CPU: 10 %<br>Memory: 18.070983886719 %<br>Disk: 19.265747070312 %
[2026-09-03 19:27:27] FAILED | Router Offline
[2026-09-03 19:27:47] OK | History saved: 2026-09-03 19:27:47<br>Download: 16.46 Mbps<br>Upload: 1.51 Mbps<br>CPU: 13 %<br>Memory: 18.074798583984 %<br>Disk: 19.265747070312 %
